ID_REF,pancreatic cancer saliva-1,pancreatic cancer saliva-2,pancreatic cancer saliva-3,pancreatic cancer saliva-4,pancreatic cancer saliva-5,pancreatic cancer saliva-6,pancreatic cancer saliva-7,pancreatic cancer saliva-8,pancreatic cancer saliva-9,pancreatic cancer saliva-10,pancreatic cancer saliva-11,pancreatic cancer saliva-12,Healthy control saliva-1,Healthy control saliva-2,Healthy control saliva-3,Healthy control saliva-4,Healthy control saliva-5,Healthy control saliva-6,Healthy control saliva-7,Healthy control saliva-8,Healthy control saliva-9,Healthy control saliva-10,Healthy control saliva-11,Healthy control saliva-12
212846_at,6.09,11.15,1.43,22.19,5.86,100.01,3.14,2.57,5.35,23.93,18.73,12.83,5.08,1.63,7.67,0.92,13.12,9.69,48.49,1.53,0.72,13.34,104.72,4.31
212847_at,6.16,0,3.38,3.03,0.27,6.2,0.87,0.91,10.02,1.29,0,3.69,0.51,0,1.81,0,0.02,0,0,0,0,2.14,0,1.14
212848_s_at,1.27,1.51,2.15,0,0.57,0,2.54,0.09,0.01,1.9,0,2.66,3.27,0,7.16,2.15,6.68,0,0.12,1.31,2.75,0.98,0,0
212849_at,2.88,0.55,1.84,2.19,0,3.16,0,1.33,0.01,2.59,9.76,1.26,2.23,1.35,0,0.54,0,1.54,0,1.57,2.37,1.51,2.99,1.72
212850_s_at,0.1,0.03,74.28,9.19,47.44,12.89,17.55,0.01,96,98.62,0.02,0.08,37.99,50.45,0.05,140.7,70.85,32.53,0.75,771.15,0.29,33.12,0.02,81.2
212851_at,783.48,447.73,285.39,363.27,457.13,240.19,254.52,244.41,238.04,338,284.99,290.2,790.59,323.76,451.19,182.08,246.11,245.36,226.14,191.96,210.09,73.29,233.51,254.6
212852_s_at,0.01,0.01,7.94,2.35,0.02,0.01,90.72,115.77,153,0.01,74.38,0.01,74.03,11.14,16.55,0.02,72.4,128.28,76.24,0.02,14.64,36.7,0.01,70.23
212853_at,3.67,0.61,5.09,0,4.68,4.64,0,1.62,0,2.19,2.05,0.43,0.99,0.01,1.22,9.43,0.51,0,0.02,2.81,2.27,0.01,0,4.17
212854_x_at,4.93,1.77,5.73,0.44,0.09,1.7,0.03,3.5,0.75,6.13,7.13,2.44,0.79,3.78,2.33,1.4,0.64,0.41,2.82,0,18.25,4.75,1.35,0
212855_at,0.02,9.81,0,0,1.02,0,2.14,2.67,1.46,0.2,0,0.42,0,1.78,0,0.46,2.62,0.13,0,2.47,5.92,0.6,0,1.5
