ID_REF,pancreatic cancer saliva-1,pancreatic cancer saliva-2,pancreatic cancer saliva-3,pancreatic cancer saliva-4,pancreatic cancer saliva-5,pancreatic cancer saliva-6,pancreatic cancer saliva-7,pancreatic cancer saliva-8,pancreatic cancer saliva-9,pancreatic cancer saliva-10,pancreatic cancer saliva-11,pancreatic cancer saliva-12,Healthy control saliva-1,Healthy control saliva-2,Healthy control saliva-3,Healthy control saliva-4,Healthy control saliva-5,Healthy control saliva-6,Healthy control saliva-7,Healthy control saliva-8,Healthy control saliva-9,Healthy control saliva-10,Healthy control saliva-11,Healthy control saliva-12
1007_s_at,1.48,0.01,2.11,0,1.6,1.08,0,1.8,0,0,0,1.01,1.38,0.97,1.13,1.75,4.42,0.74,2.57,1.42,0,0,0,1.49
1053_at,1.19,0,0,0.28,3.55,0,1.11,0,0.1,0.06,0.75,1.32,3.09,0,2.61,2.33,1.72,0.9,1.63,0,2.57,1.41,0.44,0.88
117_at,0.67,2.01,0.3,2.18,3.35,0,0,5.06,1.05,0.44,2.45,0,0,3.62,1.85,1.8,0.54,0.23,0,0,2.38,1.32,7.53,1.5
121_at,2.75,5.19,0.02,6.99,3.67,2.22,4.89,2.17,5.49,9.19,1.34,5.26,4.7,2.29,9.5,2.17,0.45,6.86,3.4,7.18,10.41,8.17,4.58,4.45
1255_g_at,0,10.76,0.46,8.97,3.99,18.08,21.62,0.05,0.34,45,0,21.61,14.34,1.59,54.46,3.72,7.25,10.64,0,76.8,0.02,32.69,13.89,36.51
1294_at,0.51,2.78,0,2.81,0.87,3.53,3.68,1.45,1.53,1.65,1.25,0.03,1.63,0,0.4,0,2.38,1.13,1.92,0,0.86,2.65,0.26,1.07
1316_at,1.68,3.83,0.55,3.44,1.59,3.14,2.61,0.33,0.29,1.52,4.79,2.91,4.15,2.36,1.73,1.43,4.99,3.43,2.42,0.49,0,2.18,0.02,2.6
1320_at,0,0,0.41,4.78,0,2.54,2.54,0,0.01,0.21,0,0.02,0,0,0,0,0.01,0,1.5,3.52,0,1.22,7.31,3.09
1405_i_at,0,0,0,0,0,7.37,0,1.75,1.01,0.32,0,2.32,0,0.79,0,0,0,0,0,0.97,0,0.68,0.01,2.1
1431_at,1.99,0.42,0,0,0,1.68,2.41,0.39,0,0,1.84,0.89,2.17,0,0.75,1.27,0.86,0,2.92,0.15,1.83,0.96,3.5,0.46
1438_at,78.97,84.51,113.17,100.65,118.84,67.13,17.67,75.97,109.12,118.8,111.01,93.38,119.36,80.37,113.25,115.16,6.51,90.92,189.57,82.97,198.28,142.52,174.36,90.83
1487_at,0.63,2.61,0.95,0.93,1.56,3.43,3.13,20.78,1.79,2.54,2.39,2.21,0,1.21,1.09,23.99,1.74,1.1,1.62,0,55.16,0.52,4.4,1.13
1494_f_at,3.37,2.32,0.71,2.32,5.24,0,0.85,4.97,1.1,0.99,0.01,1.47,3.77,4.2,2.71,3.74,0.02,3.33,1.67,5.47,0,4.22,0.68,3.96
1552256_a_at,0.52,0.99,0.15,0,1.52,7.58,6.44,0.57,1.3,0.12,4.25,1.24,0.01,1.5,1.55,4.88,3.28,2.1,0,2.09,0,0.43,2.98,0.01
1552257_a_at,2.29,4.06,9.36,4.29,3.26,8.71,4.2,4.26,4.26,1.01,8.05,5.48,0.02,9.59,3.8,0,3.04,7.08,1.44,3.01,19.47,6.49,2.9,0.88
1552258_at,4.96,4.39,11.44,2.19,6.08,2.48,2.38,4.58,2.1,3.17,4.02,1.24,1.53,6.15,2.97,7.67,5.23,2.31,1.72,2.51,0,1.75,0.03,3.12
1552261_at,315.98,328.36,248.42,238,316.28,213.98,269.97,232.49,197.47,315.33,309.58,284.82,368.77,336.65,524.07,249.83,214.73,282.57,198.81,284.01,135.94,300.99,245.05,226.29
1552263_at,3.31,2.16,1.76,0.86,1,0,3.7,1.26,1.46,1.94,7.7,4.84,2.63,0.01,0,0,3.5,1.24,2.02,0,0,1.1,0,0
1552264_a_at,4.34,1.18,6.56,1.17,9.53,0,2.28,0,0.01,0.82,0,0,0,0,0.32,2.07,0.01,0,0.01,1.57,0,0.71,1.04,0.02
1552266_at,0.52,0.02,0,0.31,0.03,3.41,1.08,0.01,0.61,3.05,0.83,0.05,0.02,0,1.79,1.67,0,0.01,4.68,1.71,6.98,0.65,2.43,0.46
1552269_at,4.01,0.76,8.81,0,0,0,0,0.04,0,0,0.01,0,0,0,0,5.93,3.2,0,0,1.01,0,0,0,2.1
1552271_at,0.82,0.39,0,0,0,0.01,0,1.71,0,0,0.15,3.32,0.08,1.3,0,2.23,0,0,1.16,5.06,6.84,1.33,0.89,0.46
1552272_a_at,2.15,3.23,0,1.69,2.69,0.41,0,0,0,0,0.82,1.4,5.8,0.82,2.85,2.09,0,0.11,1.23,2.74,0,0,1.98,0.47
1552274_at,812.95,498.45,317.98,502.77,859.1,291.95,290.86,275.68,299.39,352.91,324.72,337.47,573.71,316.32,456.04,254.9,330.68,256.56,259.47,253.33,93.31,134,281.56,313.64
1552275_s_at,6.42,19.11,0,9.69,4.45,0,0,0,32.88,21.23,76.6,5.42,23.37,12.44,33.01,0.26,0.03,0.31,0.01,0.57,58.75,12.97,0.01,16.69
1552276_a_at,2.41,2.19,1.24,3.53,0,1.27,0.16,0.69,14.67,2.71,2.82,3.73,0,2.23,0.47,1.87,0,3.56,0.46,0,6.59,0.4,0,1.02
1552277_a_at,2.69,2.15,1.66,0.99,0.68,0,0.01,0,0.01,2.78,3.84,0,1.61,1.07,0.26,0,0,1.65,0,2.73,0,3.11,0.49,0
1552278_a_at,57.42,6.91,13.01,5.94,14.59,2.61,25.7,13.26,0.3,0.01,11.99,7.58,32.83,0,3.59,0.37,6.68,0,129.71,2.67,2.86,7.47,1.78,13.82
1552279_a_at,41.95,45.86,2.98,10.44,56.93,13.34,67.83,189.01,106.77,3.14,61.06,8.93,56.32,98.62,39.35,142.24,4.21,70.2,7.82,317.86,220.44,70.17,80.69,25.67
1552280_at,57.45,6.68,2.24,8.95,0.07,24.09,27.57,51.89,0.03,0.01,0.02,7.3,7.58,0.01,32.4,0.54,18.11,14.32,23.15,0.03,67.51,7.14,9.28,0.06
1552281_at,0.04,3.9,3.87,1.12,2.02,6.22,6.28,3.51,10.51,2.24,4.99,2.71,2.59,0.53,4.2,8.19,1.9,1.98,1.93,0.01,6.87,0.26,34.34,2.49
1552283_s_at,3.26,5.18,0.01,6.79,5.37,6.74,4.78,0.94,12.05,9.6,4.17,6.33,4.8,2.66,0.86,12.42,0,9.39,2.22,7.43,0,3.53,0,8.56
1552286_at,155.94,146.63,66,109.83,176.24,29.75,36.54,41.2,1.46,31.71,118.8,98.47,135.97,113.91,117.49,22.99,13.48,124.28,3.75,19.26,0.24,119.55,2.01,118.46
1552287_s_at,0,0.21,1.18,0.23,0.01,0.81,0,2.69,0,0,0,0,2.94,0,1.21,3.33,0,4.36,6.22,2.05,0.38,0,1.41,1.37
1552288_at,1.69,4.59,0.1,5.78,2.65,4.33,6.79,5.55,5.32,3.22,4.87,1.35,8.25,0.01,3.7,0.18,4.19,5.04,0,2.74,1.9,4.94,3.43,3.06
1552289_a_at,4.17,5.66,33.52,5.39,0,0.01,0,1.54,0,1.98,13.3,68.96,3.26,35.22,7.94,12.7,75.2,7.46,23.73,59.84,38.56,27.15,4.07,0.73
1552291_at,7.81,1.7,3.11,4.63,1.5,0.37,0,0,0,4.09,1.61,0.91,3.67,4.16,3.6,2.58,0.04,0.36,1.18,0,2.02,4.52,0,0
1552293_at,2.19,4.2,0.34,5.06,0.86,1.92,0,3.15,0.01,4.06,3.64,2.67,0.04,0.82,0.31,0,0,0,1.64,3.02,0.69,3.3,1.61,1.36
1552295_a_at,4.91,5.03,0.02,1.59,4.64,1.01,10.1,0,0.01,0.18,5.72,4.55,0.04,0.29,3.68,4.45,1.21,6.22,3.66,0.04,2.07,5.57,5.52,5.7
1552296_at,0,0.7,2.55,0.01,1.18,0.26,0,0.01,0,0.71,4.26,0.53,3.65,0.81,2.63,0,0.01,1.25,1.67,5.71,0,2.77,0,2.22
1552299_at,1.23,1.75,1.3,0,0,0,0,3.29,0,2.55,0,0.15,0.81,2.73,0.51,0.1,2.38,0,7.08,10.51,13.33,0.09,0,0.51
1552301_a_at,3.4,3.02,2.55,2.62,0,1.18,0.48,4.54,0,2.67,1.73,0.01,2.05,0.31,2.27,0.71,2.16,3,1.18,0.5,0,32.47,1.08,0
1552302_at,0,1.44,0.52,3.05,2.1,0.01,0,0.58,3.92,4.34,7.74,2.07,2.41,1.81,1.83,0.43,1.19,2.73,2.29,0,0,1.24,2.48,1.38
1552303_a_at,0,3.08,0,0,2.23,1.9,0,0,5.6,0,0,1.16,2.93,3.61,1.77,9.79,0,0,0.84,0,0,0.9,4.92,3.28
1552304_at,1.84,0,3.81,0,0,0,0,4.12,3.25,0,4.31,6.1,5.47,0,3.69,0,0,0,0.67,0.01,0,0,0,0.34
1552306_at,1.82,0,0,1.79,3.21,18.95,4.3,207.53,88.16,11.72,0.01,0.01,2.69,2.98,0.28,91.42,175.84,7.71,65.55,164.38,23.22,5.17,0,1.23
1552307_a_at,1.56,1.3,3.69,2,0,0.59,0,0.16,0,3.98,0.69,0.65,3.16,2.84,0,2.66,0.21,2.4,2.7,0.88,1.89,4.47,5.16,1.14
1552309_a_at,1,0.01,5.55,0.52,0.57,6.79,2.34,5.62,5.83,4.72,4.03,7.16,3.43,5.83,3.55,4.73,0,1.51,2.8,5.3,4.68,5.55,0.84,5.11
1552310_at,2.03,2.73,0.01,3.17,2.06,2.08,0.14,2.81,11.69,1.3,0.01,5.05,2.92,3.81,0,0.01,12.51,0,0.01,0,0,0,0.01,3.04
1552311_a_at,23.87,11.01,0.02,34.15,13.26,67.34,18.04,59.61,25.8,32.38,1.49,27.97,12.87,0.02,30.46,6.64,0.01,7.15,27.5,4.72,15.4,12,0.03,0.03
1552312_a_at,0,2.77,0,9.34,11.79,0,2.89,0,2.12,33.05,41.14,9.91,12.03,2.01,0,15.45,0.4,3.9,5.76,0,0,8.57,0,48.04
1552314_a_at,4.46,1.11,5.14,3.41,6.71,2.03,0.63,6.45,1.77,0.94,2.49,3.23,4.5,1.93,2.78,0.33,0,4.01,0.13,2.09,2.37,5.58,1.38,3.24
1552315_at,0.95,0.61,1.49,2.74,0,4.07,6.03,0.45,3.21,3.43,0,0,0.65,2.56,0.36,0.52,4.35,1.6,5.14,0.01,0,4.05,0.26,0
1552316_a_at,0,0,2.38,0,0,1.85,0.02,8.41,1.12,4.39,0.01,2.1,0,0.16,0.01,4.15,2.96,1.44,0.04,0.56,5.23,0.69,2.81,0
1552318_at,4.12,1.51,1.62,2.46,2.02,2.33,8.99,3.5,82.98,3.7,3.82,7.03,1.93,4.2,1.98,2.27,0,14.42,5.49,20.9,0.03,8.72,5.84,2.92
1552319_a_at,0.53,2.45,3.3,9.06,1.71,3.43,0,0,1.15,0.97,0,0.78,0,0,0,0.09,0,0,0,0,0,1.06,2.43,0
1552320_a_at,0,0,0,0,0,4.51,1.86,0.64,0,3.47,3.39,0.75,3.66,0.01,0,20.3,0.03,2.51,44.75,3.41,2.7,1.62,9.03,3.07
1552321_a_at,0.97,0,0,3.38,3.3,1.48,4.64,0,3.92,3.23,0,0,2.63,0,0,0.01,1.46,1.26,0.64,0,0,0.01,4.7,0
1552322_at,0.61,0,0.01,5.35,0.01,3.57,3.95,1.64,10.64,0,0.27,6.23,1.29,8.27,0.02,5.57,1.34,5.46,2.32,5.35,0,2.7,0.31,1.15
1552323_s_at,0.39,0,0.05,1.05,3.44,1.72,0,1.07,0,3.08,2.96,0,0.42,3.11,2.24,0,20.86,2.59,1.33,0,2.21,1.5,2,0
1552325_at,1.77,0.82,0.52,2.46,0,0.94,0,5.31,0,2.56,0,0,0,3.05,0,9.37,0,2.2,0,0.86,0,0,0,3.22
1552326_a_at,109.28,137.46,90.31,135.12,94.67,59.3,82.38,223.77,157.34,121.5,94.7,154.68,190.6,71.31,53.98,192.93,137.21,77.83,209.23,154.66,346.13,130.21,153.97,59.27
1552327_at,0,1.3,4.67,1.53,0,1.56,0,6.62,0,4.43,0.04,2.91,0.78,0,2,7.66,2.69,0.97,2.75,0.55,6.1,0,0,3.11
1552329_at,2.03,0,0,2.34,1.32,0,8.78,2.68,0.53,3.44,2.35,9.2,3.48,7.92,1.77,0.72,1.35,2.13,0.31,0,1.36,0.03,0.01,0.86
1552330_at,3.35,2.74,1.83,3.49,0.75,2.44,0,4.43,1.07,1.57,1.39,2.56,0.66,0.88,6.03,0,4.37,1.34,5,1.21,0.01,1.47,0.01,0.75
1552332_at,2.44,30.09,1.03,4.66,2.89,5.36,5.01,1.46,0,1.96,0,2.19,8.86,0.99,14.31,0,0.95,2.2,0,2.17,2.96,10.49,2.12,3.2
1552334_at,0,0,5.93,0.77,1.25,0.01,6.88,0,0.23,1.56,2.7,0,0.35,0,0,0,1.11,1.82,1.08,2.78,0,1.67,0.55,2.71
1552335_at,0,2.47,2,0,0.66,8.38,2.47,0,0,3.2,1.1,5.36,0,4.01,1,0,3.98,0.86,0.7,0,0,2.29,1.1,1.11
1552337_s_at,3.14,0,1.44,0,1.54,0,0,1.13,2.05,1.82,2.77,0.92,0.88,1.01,0,2.76,0.16,1.9,4.26,0,1.21,0,0,0.74
1552338_at,5.53,1.84,0.84,29.21,12.79,1.42,0,0.02,0,0.52,1.52,0.65,0,0.11,2.32,0.43,1.19,1.09,0.62,0.49,0.01,0.18,0.39,1.17
1552340_at,0.57,37.16,0.01,0.72,12.81,0.82,1.17,0.04,0,0,1.55,2.91,1.69,5.87,2.91,0,0,0.55,0,2.15,0,1.53,2.5,0
1552343_s_at,595.51,494.68,335.08,514.33,434.38,329.06,320.4,323.76,324.96,378.48,436.69,365.73,690.29,352.15,408.45,297.16,313.87,457.49,352.91,309.99,297,372.25,318.75,526.58
1552344_s_at,2.29,1.26,2.77,0.54,1.83,0,0.04,0.28,0,0.53,0,2.27,1.27,1.3,2.4,0,2.83,2.95,0,1.2,0.61,2.07,0,1.71
1552347_at,1.76,2.72,1.48,0.38,2.51,4.1,4.43,8.69,11.21,0,2.01,5.33,3.37,3.41,2.86,0,2.49,4.93,7.36,62.87,1.72,7.47,16.62,0
1552348_at,0.7,7.77,2.24,0.01,0,1.5,0,0,2.94,2.19,0.22,1.84,2.6,1.05,0.41,3.08,3.1,0,0.01,4.28,0.45,0.05,0.93,0
1552349_a_at,110.38,119.17,2.53,137.05,50.88,6.77,0.88,2.19,0.4,172.31,85.97,76.42,63.92,122.61,93.84,317.38,2.63,62.02,209.06,0,2.51,1.84,2.39,30.52
1552354_at,6.13,3.99,0,3.97,1.7,7.35,5.3,6.39,0.14,3.78,3.07,0.48,11.37,5.38,3.79,4.24,8.63,5.54,0.99,34.09,0.08,9.73,2.79,3.45
1552355_s_at,85.03,0,0,0.25,10.56,42.42,73.32,76.14,0.91,0,45.33,54.29,2.81,0,23.69,15.42,0,46.34,53.15,3.17,25.79,32.72,0.98,14.74
1552359_at,0,0.05,1.16,0.46,2.71,1.94,0.5,59.61,2.02,0.06,2.4,6.93,1.13,6.08,1.45,1.46,1.75,1.82,26.77,0.37,40.94,2.15,0.19,1.92
1552360_a_at,1.04,0,0,1.35,2.12,0,0.42,3.47,5.55,2.35,3.23,0.21,0,6.26,0.21,0,0,1.88,2.06,0,4.15,2.87,0,3.7
1552362_a_at,0,0,15.34,9.71,0.01,5.17,28.68,2.62,27.84,5.34,0,50.96,14.15,0,6.81,238.77,39.68,5.7,108.3,7.41,155.5,21.89,2.81,2.16
1552364_s_at,1.21,0.12,0,1.13,0,0,0.69,0,0.01,0.87,0,0,0.96,1.46,0.74,0,0.66,0,4.55,1.93,0,0.02,3.95,0
1552365_at,0.03,0.02,1.68,0,0.21,1.9,0,0.91,0,0,0,0.15,3.6,1.4,2.54,6.01,3.8,2.3,0,7.75,1.28,0.59,1.67,0
1552367_a_at,0.45,7.67,69.95,7.05,2.4,0,6.83,0.44,2.74,0.28,11.36,17.14,7.68,15.51,1.35,22.32,2.12,12.57,8.16,2.47,0,0.25,27.07,1.56
1552368_at,4.38,0.02,2.43,1,3.48,0.08,0,2.08,0,0,0.29,1.08,0.79,5.84,3.6,0,1.14,4.53,2.65,0,8.49,4.15,0,5.77
1552370_at,0.67,5.63,3.89,0,3.01,1.38,0,0,0.46,0,0.4,0,0,1.1,1.69,2.03,0,3.06,0,2.69,1.83,0,0.34,1.71
1552372_at,1.18,1,0.1,0,0,0.69,1.71,0.74,0,0.77,0,0,1.75,0,0,8.43,4.63,0,5.12,0,7.98,1.68,2.03,0
1552373_s_at,0.59,5.33,0.01,2.34,2.34,2.39,0,3.26,3.28,2.13,1.65,1.18,4.47,1.75,4.84,3.16,0,2.92,1.98,2.19,1.3,3.02,1.44,4.91
1552375_at,0.16,2.69,1.65,1.99,9.38,3,4.29,1.6,3.33,1.11,0.89,4.91,6.49,2.97,11.36,1.58,4.5,0,0.47,0.54,0,1.84,1.47,1.19
1552377_s_at,55.17,36.36,80.74,33.68,42.21,2.6,0,0.63,0,0.09,60.5,7.69,53.49,64.16,12.3,2.3,0,86.05,4.41,14.58,0,3.98,6.84,9.52
1552378_s_at,4.82,1.11,1.51,0,0.01,0.61,1.08,4.29,5.41,0.01,0,0.01,0,0,2.35,0,0,4.18,0,3.11,0,0.19,0.26,0
1552379_at,2.44,1.23,9.54,2.46,0.02,1.73,0.18,4.58,0.17,4.01,0.42,2.73,2.37,2.72,0,0,0.78,1.96,0.66,4.13,3.67,3.63,2.86,1.76
1552381_at,0.05,2.22,0,0.69,1.52,0,0.34,3.87,13.71,0.75,0,0.05,0.91,0.75,0.01,0,1.02,2.45,0.56,0,3.17,1.76,0,2.33
1552383_at,0,0,0.13,1.17,3.04,0,0.11,3.26,0,0.48,2.3,1.78,2.96,0,0,0,2.26,0,0,1.38,0.04,0.32,0,1.07
1552384_a_at,5.76,1.5,6.13,0.18,1.11,0.01,2.53,2.7,4.81,2.44,0.99,0,3.42,0.01,2.75,0.01,1.42,0.01,7.1,1.74,0.07,4.11,0.34,1.48
1552386_at,2.54,0.01,4.29,0.7,9.21,0.97,0,2.9,0,0.24,3.52,4.85,4.41,1.6,0.66,3.26,8.12,3.48,4.03,1.39,0.01,0,1.93,1.97
1552388_at,2.55,2.92,3.51,1.54,2.44,1.13,0.24,2.23,0.01,1.14,1.77,3.16,1.96,1.6,4.22,0.52,0,4.03,1.67,1.5,0,2.24,0,3.01
1552389_at,6.07,0,69.25,0,1.71,6.89,5.97,0,0,0,0,29.43,0,0.01,0.01,0,5.78,0,3.03,4.23,0.01,0,2.26,28.66
1552390_a_at,7.75,0.69,0,0.3,0,3.13,0,1.33,0,0.73,0,4.13,2.28,1.14,0,1.85,3.5,0,0.01,1.59,0,0.04,0,0
1552391_at,0.01,0,1.04,3.4,1.22,0,1.52,2.72,1.89,0,0.45,1.45,4.47,1.82,1.38,0.93,0,1.65,2.15,2.2,11.71,0,3.5,0.2
1552393_at,0.57,1.32,3.17,0,0,1.27,7.92,3.54,1.18,0,0,2.07,1.02,0.01,0,0.31,1.74,2.19,1.21,0,5.65,0,0.23,4.24
1552394_a_at,0.01,8.92,2.27,0,0,2.34,0,2.96,0,6.6,1.87,0,3.08,0,2.21,0,0,0,0.18,0,0,2.35,0,0
1552395_at,0.23,0,0,5.07,7.39,7.72,25.98,2.15,29.71,0.59,0.89,1.11,0,12.15,2.51,0,0,0,17.44,0,0.01,0.87,0,0
1552396_at,0,0.4,6.53,0.01,17.24,1.02,1.55,0.27,1.51,1.41,50.4,6.52,3.24,0.09,0,30.15,2.53,1.28,33.84,21.68,0,0.39,5.18,1.23
1552398_a_at,16.11,31.65,89.12,24.98,6.03,142.71,111.56,0.01,214.97,22.68,7.64,47.25,3.57,14.84,4.55,101.89,153.38,19.69,0.2,0.02,0.01,0.14,99.75,13.29
1552399_a_at,0,0,0.77,0,2.55,0.01,0,1.12,2.4,0,5.34,0,2.1,0,7.15,0,2.83,2.58,0,2.74,0,0,3.39,0
1552400_a_at,144.3,153.36,308.04,167.42,226.97,212.46,198.74,208.78,206.27,178.64,82.9,195.59,68.8,82.91,30.26,249.06,186.5,43.72,167.41,227.06,238.88,11.23,191.52,42.95
1552401_a_at,1.19,2.09,90.7,4.38,3.53,2.21,46.13,174.05,117.87,0.81,1.45,1.25,4.96,19.96,3.19,39.78,2.57,2.76,2.81,68.18,0,2.76,1.58,3.01
1552402_at,0,0.47,1.59,3.59,0.47,5.13,0.28,3.24,0,0.17,0.01,3.63,0,3.69,0,2.51,2.28,0.52,4.7,5.19,1.8,1.98,2.85,0
1552405_at,0.14,3.98,0.73,0.01,2.66,0,0,0.99,2.07,0,0,0,0.83,0.75,2.63,1.11,0.34,4.12,0.2,0,0,1.51,3.71,0
1552408_at,0,2.19,0.01,5.19,0,1.28,0,0.09,2.65,3.83,2.31,1.45,0,1.25,1.58,0,0,0,2.33,0,0,3.67,2.17,3.79
1552409_a_at,1.67,0,0,0,0,3.52,4.63,2.93,0.01,2.01,0.46,1.33,0.01,1.95,3.03,0,7.15,0,2.27,0.01,1.28,0,2.19,1.56
1552410_at,4.14,0.45,0.01,2.06,0.01,0.48,0.7,4.67,0.36,1.82,0,6.32,4.51,1.08,0,0,0.51,3,0.42,0,0,2.19,0,2.16
1552411_at,1.96,3.27,0,4.01,3.67,4.26,12.33,7.78,0.79,1.61,2.82,27.55,0.89,3.8,2.18,6.89,2.1,1.76,2.34,2.06,0,1.95,18.69,4.57
1552412_a_at,8.21,3.14,3.02,5.08,0,0.02,0,2.14,0.92,2.45,0.17,5.62,2.73,2.63,2.48,5.38,1.24,1.95,1.71,1.05,2.11,1.01,2.14,0.74
1552414_at,0.61,3.55,79.5,3.29,8.51,41.81,59.01,11.58,4.27,40.87,5.43,5.38,16.9,7.79,3,41.13,31.41,2.29,3.11,0,71.26,23.07,5.5,86.56
1552415_a_at,0,0.09,0,2.46,0.01,1,0,3.08,0.94,1.52,5.45,2.97,2.91,1.07,3.16,4.87,5.51,1.12,2.22,0.47,1.55,3.04,3.34,1.04
1552417_a_at,1.11,0,2.18,4.27,3.36,1.26,0.4,0,1.78,0.74,0.99,0,0.01,0,5.85,2.52,1.62,4.37,1.05,0,0.57,2.29,0.02,1.63
1552418_at,386.58,432.79,378.61,368.04,353.71,389.28,213.3,242.39,134.87,357.79,397.87,299.78,437.22,417.52,421.37,408.97,506.08,379.75,333.6,327.21,148.52,413.88,383.89,387.63
1552419_s_at,0,4.66,4.48,1.79,1.83,0,0.55,2.55,7.23,0.78,1.06,0.01,0.01,0,1.91,0.88,1.78,5.41,0.07,4.37,0,0.52,0.02,1.92
1552421_a_at,47.34,57.55,8.11,32.14,30.16,1.06,24.52,2.28,26.1,4.39,4.08,0.53,52.39,52.54,14.3,0.26,1.05,11.72,2.84,114.33,0,0.63,3.4,20.76
1552422_at,240.32,167.51,170.77,118.31,155.04,206.28,51.88,188.54,166.4,214.53,148.61,60.76,100.14,150.68,213.27,168.29,38.97,95.11,80.55,86.53,66.43,123.94,213.52,180.67
1552423_at,2.7,8.3,151.48,2.92,2.44,13.76,40.03,15.61,8.8,13.51,11.99,56.18,3.64,11.17,2.06,121.38,39.89,6.11,53.29,139.46,67.23,1.1,64.42,4
1552424_at,2.7,1.78,1.84,0.05,0,1.86,2.66,1.1,0.04,0.75,0.01,0,0.81,0,0.01,1.45,0.81,0.02,1.9,2.22,0,1.95,3.18,0.64
1552425_a_at,0,2.84,0.06,0.12,1.75,0,0,0,0.26,0,1.13,1.44,2.53,0.45,0.01,2,0,1.16,0.25,0,0,0,0,0.85
1552426_a_at,1.26,1.27,1.08,4.52,1.4,0,0,4.4,1.84,2.89,0.53,0.01,0,2.38,0,1.24,0,0,2.83,0.74,0.02,1.51,0,2.07
1552427_at,0,0,1.84,0,2.28,2.08,0.94,0,0,1.39,0,0,2.51,1.13,0.02,1.37,0.53,0.6,3.09,6.76,2.21,0,1.26,0
1552430_at,4.78,4.66,23.47,2.1,1.38,1.13,3.55,1.89,2.2,6.41,3.1,3.72,3.09,2.76,2.2,0.72,0.65,7.7,6.06,0,1.19,2.3,1.27,0.58
1552432_at,0,0,1.61,0,0.79,0.08,0,2.71,2.18,0,0,1.2,1.02,0.37,1.69,0,0.92,1.41,0,0,0,1.6,0,1.97
1552436_a_at,0,4.67,0,0.79,1.96,0.03,2.2,1.12,0,0.11,1.23,0.53,0,3.48,0.01,0,0.59,5,4.08,1.49,0,0.16,0,2.03
1552438_a_at,0,2.17,0,0.34,0.05,6.39,6.83,0,29.87,0.56,0.01,0,0,0,1.52,0,0,0,0.01,6.27,0,1.05,2.34,4.76
1552439_s_at,0,0,0,4.91,0,5.29,0,3.11,4.53,0,0.84,1.95,0.02,0.03,0,0,1.5,4.34,11.88,1.89,1.76,0.99,0.58,2.23
1552440_at,5.01,2.79,2.33,1.24,2.62,0.01,1.05,0,0,0,0.51,1.71,2.19,0,0,0,0,0,0.08,1.84,0.38,0,0,1.45
1552445_a_at,0,0,10.83,1.94,2.27,2.14,1.25,3.38,1.12,0.52,1.45,0.17,0.67,1.83,1.92,1.16,0.08,3.06,0.02,1.17,3.7,2.06,1.85,1.55
1552448_a_at,0.42,4.71,0,2.13,5.94,2.13,2.63,0.24,0,0.66,1.35,0.01,0.62,0.01,1.71,0,1.39,0,0,0,5.15,2.22,3.84,0.72
1552449_a_at,0.11,1.47,0,2.62,0,1.3,0.62,3.04,1.43,0,0.09,0.03,1.8,3.58,4.11,1.48,2.05,2.1,0,1.05,0.31,0.89,0,2.03
1552450_a_at,3.27,3.58,7.06,1.91,3.94,0.13,3.87,0.01,2.31,0,3.1,0.67,2.69,2.32,2.88,0,0,2.65,0.19,1.74,0,1.32,2.93,3.6
1552452_at,0,2.23,0.92,0,0.22,1.58,0,2.25,0,0.62,0.9,3.19,0.02,0.65,1.5,1.74,0,0.71,0.02,1,0,1.3,4.92,0
1552453_a_at,1.31,2.42,2.36,1.97,0,0.76,3.45,0.01,0.78,2.22,3.68,5.08,3.83,4.26,3.6,5.23,2.37,3.14,2.11,0,1.98,2.24,1.84,1.76
1552455_at,4.8,2.5,6.43,0.77,0.69,0.36,0,6.35,3.01,4.44,0,9.13,0,0.01,0.01,0,2.23,5.23,2.64,0.22,0,2.66,3.01,2.23
1552456_a_at,21,22.79,183.78,26.23,75,533.44,404.49,302.15,65.02,270.21,313.8,116.11,10.1,72.08,13.86,1.91,99.55,66.43,148.14,0.38,0,5.15,16.88,78.38
1552457_a_at,0,0.51,0,1.75,0,0.01,0,0,0,3.15,0,0,0,0,0,6.43,0.44,0,0,0,0,0,9.41,0
1552458_at,0.15,0,0.09,0,1.86,5.79,0.02,0,9.24,0,4.03,0.91,1.94,0,1.92,0.22,7.74,1.1,3.07,3.23,0,2.76,1.38,1.17
1552459_a_at,4.28,10.23,0,6.49,0.03,0.35,1.83,0,1.6,3.23,2.91,1.5,3.09,4.09,5.73,9.01,0.1,0.25,3.68,2.26,0,3.98,3.58,6.13
1552461_at,0,0.59,2.95,0.34,2.54,0.01,0,2.76,0,0.91,0,0,1.69,0,0,1.71,0,0.01,3.34,0,1.11,0,0,0
1552463_at,326.97,423.28,151.06,469.91,321.75,331.28,270.31,251.7,252.53,327.32,305.33,285.14,417.22,371.4,370.53,144.23,177.27,350.25,257.66,182.43,213.72,280.63,151.49,418.8
1552466_x_at,131.82,131.23,53.31,167.06,177.98,134.7,188.15,173.83,172.54,247.74,115.84,119.86,145.22,177.47,181.68,68.84,76.6,140.3,16.59,101.4,1.32,175.28,192.08,159.86
1552467_at,6.73,0.81,1.34,1.86,0.53,3.25,0,0.01,0.01,2.31,0,0.65,0.72,1.09,0,1.05,0,0,0.02,0,3.09,2.35,0,2
