ID_REF,Healthy control saliva-lc1,Healthy control saliva-lc2,Healthy control saliva-lc3,Healthy control saliva-lc4,Healthy control saliva-lc5,Healthy control saliva-lc6,Healthy control saliva-lc7,Healthy control saliva-lc8,Healthy control saliva-lc9,Healthy control saliva-lc10,Lung cancer saliva-1,Lung cancer saliva-2,Lung cancer saliva-3,Lung cancer saliva-4,Lung cancer saliva-5,Lung cancer saliva-6,Lung cancer saliva-7,Lung cancer saliva-8,Lung cancer saliva-9,Lung cancer saliva-10
1561532_at,0.0000830563,2.62543,2.40763,0.00282896,1.41411,1.6859,0.0864991,1.16746,0.411823,2.39398,0.0200192,1.19401,0.00150451,0.155341,0.646403,7.69026,0.220372,0.0725422,0.00143517,0.00338874
1561534_at,1.24805,0.821346,1.24345,5.65756,0.0264647,0.000659231,0.000700917,0.000530573,1.48011,3.25869,1.40546,6.20436,5.2593,1.27722,0.0397857,0.858261,8.53239,7.62557,1.24507,0.00552541
1561535_at,2.22098,1.64085,2.28153,0.00245937,1.32764,2.33057,0.00294887,0.0276557,1.27889,1.56674,5.19059,1.06821,0.00291516,3.54826,3.0041,0.00328348,2.44208,1.51379,0.0871501,2.55552
1561536_at,0.000101453,1.72075,1.73596,0.422843,0.400785,0.0166958,0.00673842,1.47694,11.1587,3.18867,57.6611,41.296,7.15057,8.2945,2.72106,1.23027,9.96283,102.353,4.88378,0.00065047
1561537_at,1.62293,0.0000681868,0.856825,0.943846,0.515383,0.317049,3.18777,0.145109,0.00297594,0.00285344,0.0163308,1.45085,0.00116918,1.34451,1.00912,0.00280601,0.125108,0.0445718,0.275235,0.907046
1561538_at,34.4607,20.2698,11.872,218.029,248.448,29.4117,176.942,54.2471,14.6086,19.8736,97.8208,84.8998,36.3399,76.3251,108.601,528.313,90.301,135.555,63.6396,87.9653
1561539_at,1.83217,0.0000635444,1.8244,6.97319,13.5545,1.63888,7.08874,1.42084,0.884203,0.617623,4.88928,2.22037,2.37652,3.65823,3.07868,4.29488,0.598187,0.928823,1.70758,2.40547
1561540_at,1.93142,1.15068,1.98978,0.00312535,3.15313,1.47778,0.00508304,0.734172,2.2944,2.03872,2.71244,0.024108,1.4103,0.638611,0.00174313,0.00400685,3.51397,1.91428,0.00220665,3.40496
1561542_at,1.70244,1.39819,0.815984,2.31649,0.00150599,0.00298886,1.48937,0.935401,0.00151107,3.54941,0.835994,0.243174,1.15087,1.36093,0.0110029,1.47635,0.00323894,0.395733,1.27104,7.0946
1561543_at,181.092,67.6062,2.37747,33.1257,561.494,431.928,338.16,149.378,541.494,529.584,125.652,182.378,248.815,294.561,230.403,851.703,102.831,292.405,190.296,55.9062
