ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
1007_s_at,3.59,0,8.12,0,0,0.01,1.33,2.67,4.39,2.24,0.01,0,0,3.04,9.3,0,4.74,1.22,0,0
1053_at,1.92,0,4.73,4.99,7.17,2.01,0,5.77,4.21,0,1.13,0.01,2.71,0,4.95,16.73,2.19,5.24,4.67,2.8
117_at,0.32,0.62,5.15,5.93,0.56,4.1,6.05,1.92,7.94,0,3.83,6.07,3.28,4.09,4.7,0,4.65,2.23,3.95,7.04
121_at,13.32,20.59,10.11,42.73,8.07,13.29,46.96,33.45,12.55,11.79,11.82,0.02,10.37,38.64,2.9,78.41,38.72,10.05,46.78,1.15
1255_g_at,134.38,517.12,109.54,139.36,64,305.21,246.45,0.05,398.51,189.22,61.72,32.92,326.15,226.88,313.2,155.49,111.08,358.45,274.62,338.92
1294_at,0.79,1.91,4.56,4.72,0.03,0.82,2.88,0,7.55,0.02,6.52,1.81,0,7.86,0.32,4.21,2.93,2.52,0,2.94
1316_at,3.31,4.98,2.61,0.02,3.58,2.22,6.24,5.77,5.21,1.69,4.29,7.67,6.44,8.27,0.97,6.32,7.21,5.13,9.51,10.56
1320_at,3.31,2.92,7.53,2.04,2.28,8.35,5.59,1.04,0,5.9,2.46,0.15,6.15,0.01,1.22,0,2.08,0.27,0.41,1.64
1405_i_at,0,0,16.11,17.36,7.41,9.53,1.19,50.28,233.61,35.93,2.15,15.37,0,28.31,0,0,0,0,9.72,59.67
1431_at,1.8,0.71,1.36,6.08,2.5,0.87,1.61,3.99,2.96,0.81,1.18,1.12,0.37,2.47,4.43,0.53,0.76,7.75,2.45,0
1438_at,536.13,371.1,646.95,725.83,678.33,369.4,563.58,749.1,762.11,522.67,638.33,743.61,627.44,613.63,566.35,603.35,670.62,607.46,608.82,554.93
1487_at,0.45,3.92,1,14.2,1.23,0.85,1.55,0,3.63,4.13,2.11,3.14,1.05,2.4,1.93,3.24,2.6,1.46,2.32,6.52
1494_f_at,44.65,67.53,69.89,91.47,54.03,54.61,0.12,150.32,47.41,48.78,52.58,78.44,65.85,23.25,102.1,20.51,86.92,89.1,21.88,120.92
1552256_a_at,0,0,6.83,5.25,0,5.18,0,0,2.15,5.62,2.6,0,0.02,1.02,0,5.87,0.6,0,24.81,0
1552257_a_at,8.73,5.48,7.91,8.99,13.74,6.61,8.58,2.65,9.19,1.5,18.26,4.04,4.78,2.9,9.21,1.12,7.99,8.66,7.71,3.79
1552258_at,2.12,5.61,0.62,0.01,3.87,2.35,2.99,4,3.28,9.8,0.67,2.53,3.49,0.84,5.22,7.6,3,3.08,1.33,3.16
1552261_at,1580.37,1520.36,1399.57,1331.05,1589.12,1425.1,1534.91,1481.66,1697.23,1383.97,1204.8,1701.08,1136.42,1749.1,1761.55,1771.56,1206.51,1457.86,797.7,1246.58
1552263_at,0,3.56,5.83,2.05,1.42,6.08,3,6.67,2.9,2.18,0.7,0.93,4,0.25,0.01,4.44,0.01,0,1.16,0.04
1552264_a_at,4.89,0.01,1.35,0,0.02,0,0,0.01,0,6.67,4.05,0.02,2.06,0,0.38,0,2.62,2.04,13.03,7.87
1552266_at,0,4.22,0.59,5.91,1,0,0.73,5.67,1.09,0.35,1.96,0.01,0,1.81,3.8,0.1,2.85,0,0.01,0
1552269_at,0,2.25,0,4.55,6.81,2.69,3.57,0,0,2.58,0,13.72,4.72,0,0.27,3.64,1.68,0,0,0
1552271_at,0.01,0,4.18,0,0.13,2.78,2.6,0,0.32,0.02,0.14,2.94,4.47,0,5.49,0,4.25,0,0,0
1552272_a_at,0.07,2.04,2.45,1.09,0.01,1.44,1.85,3.71,1.73,5.61,1.38,9.56,2.88,2.16,1.45,5.94,1.63,1.2,6.64,2.27
1552274_at,2062.08,2157.01,2139.71,1889.17,1756.21,1755.24,2151.6,2118.19,1958.47,2272.08,1737.32,2448.18,2026.22,2332.61,2993.95,2098.42,2586.83,2963.75,1992.46,2690.2
1552275_s_at,302.56,246.83,199.07,5.03,171.63,0.15,466.41,481.05,175.94,211.93,84.86,344.64,220.99,152.05,15.19,52.82,6.95,133.71,79.58,0.07
1552276_a_at,3.35,0.01,2.05,0,5.79,0,22.37,0,21.11,0,10.11,0,0,0.83,0,0,0.01,0.01,0,0.01
1552277_a_at,4.98,6.3,0,0.01,0,7,2.68,0,0,0.1,0,3.24,0.01,0.01,1.1,0.09,0,1.03,0,1.9
1552278_a_at,0.01,308.88,290.66,531.65,283.17,141.22,339.84,349.84,158.65,347.37,449.07,275.64,249.41,78.07,110.66,101.38,166.11,57.2,351.5,332.13
1552279_a_at,258.36,280.1,386.41,330.13,297.03,526.49,263.02,308.49,304.08,373.86,262.1,298.79,676.22,172.24,262.24,97.79,220.93,84.69,276.45,135.29
1552280_at,0.01,1.29,4.14,1.79,0.01,0,0,7.2,0.32,0.01,5.17,0,1.94,0,1.93,6.37,5.27,3.67,0,0.85
1552281_at,7.76,9.28,5.95,5.34,4.86,0.88,3.72,7.34,14.16,0.75,9.84,21.24,2.73,9.9,0.01,11.04,5.8,3.07,0.09,23.07
1552283_s_at,2.25,16.01,6.61,71.36,3.07,30.26,20.19,0.25,0.9,1.29,67.18,5.07,40.87,1.15,0,51.24,13.43,0.45,47.72,1.24
1552286_at,832.46,1009.22,805.85,770.92,610.13,776.43,681.62,902.72,825.44,736.03,709.27,793.19,879.86,727.16,775.31,682.4,738.72,1161.93,1080.75,509.73
1552287_s_at,3.32,1.55,0.25,8.84,4.23,0,0,8.2,0.02,3.87,2.65,0.01,1.87,0,1.25,0,4.2,3.55,0,3.48
1552288_at,2.94,33.87,88.73,12.29,4.12,49.99,58.13,1.16,0.93,16.91,6.12,82.98,16.01,2.19,0.84,53.47,4.99,37.26,36.9,65.26
1552289_a_at,32.43,31.17,141.53,6.89,22.51,3.28,88.34,111.9,290.84,5.68,205.34,55.7,46.57,206.28,181.77,154.56,255.85,318.88,4.92,70.16
1552291_at,0.02,6.43,3.48,5.11,1.71,0,32.84,4.69,0.7,0.17,3.7,2.6,3.97,0.05,4.07,1.51,2.62,4.76,3.57,1.73
1552293_at,3.22,3.38,0.54,5.5,3.53,3.66,2.32,2.34,1.9,6.09,0.2,1.09,1.3,1.34,0,2.45,10.57,1.04,0,5.55
1552295_a_at,7.57,11.17,1.61,12.83,7.25,3.48,3.4,14.64,7.69,19.88,14.01,3.72,9.9,6.58,4.29,7.88,11.08,1.36,3.64,4.06
1552296_at,10.4,4.98,0.01,0.67,0,2.11,2.28,0,5.02,4.79,2.83,4.12,0,0,4.43,6.24,4.22,0.01,2.82,2.4
1552299_at,7.14,0,1.78,2.21,4.57,0.67,1.11,6.06,0.01,0.75,0.93,0.1,3.9,0,4.31,5.08,0,3.35,0.26,4.95
1552301_a_at,4.21,1.61,4.25,2.53,2.13,4.16,2.33,4.94,20.88,19.98,8.2,5.6,28.52,1.48,18.64,30.72,27.22,12.39,1.29,9.49
1552302_at,9.19,11.92,2.26,0.03,3,3.99,15.99,3.72,1.5,13.04,5.07,1.33,0.73,1.95,5.44,2.42,0.44,0.01,4.31,0.98
1552303_a_at,4.02,6.21,5.91,2.01,4.26,0.01,6.26,5.59,0.19,5.21,8.98,7.43,5.63,7.17,0.73,2.22,3.48,2.05,4.67,0
1552304_at,0,2.52,0,4.01,0,0,0,0.35,0,0,0.38,1.16,1.09,0,0.33,0,0.32,1.56,5.01,0
1552306_at,0.01,17.14,25.29,73.25,63.02,47.94,0.02,50.69,0.5,40.66,8.05,79.14,38.52,2.3,1.01,9.33,17,48.6,46.57,0
1552307_a_at,8.79,0.01,0.01,9.54,12.3,8.25,3.28,0.05,5.56,11.53,7.56,5.88,8.47,3.7,7.09,0.7,7.03,8.97,0.01,0.43
1552309_a_at,4.14,5.29,3.68,6.8,2.81,0.3,0.15,9.59,0.9,6.89,4.52,10.47,9.57,0,9.15,4.78,7.72,5.37,5.89,0.08
1552310_at,0,1.65,3.85,4.27,1.12,0.01,1.28,1.55,5.31,6.7,0,3.11,0.53,5,3.87,7.27,4.08,1.69,10.19,1.35
1552311_a_at,0,0,2.68,0,0.96,19.21,0.37,0,0,5.14,0,0,0,8.56,3.59,33.68,0.76,0,0,0
1552312_a_at,195.14,111.46,197.23,345.25,23.09,485.04,6.86,198.22,70.81,81.69,23.73,190.38,212.91,54.76,109.33,140.35,56.9,72.1,0.04,96.19
1552314_a_at,6.15,2.35,1.68,21.26,5.04,8.37,8.39,3.74,18.33,0.01,20.5,4.09,23.83,3.72,36.96,41.59,42.23,71.31,39.6,2.91
1552315_at,0.95,3.55,1.97,0,0,0,4.24,3.73,2.88,0.01,6.93,0,3.99,2.75,0,9.54,0,2.94,1.9,0.01
1552316_a_at,1.42,0,4.53,0,0.55,7.37,5.13,1.67,4.81,0,0,5.71,0.57,3.18,0.41,3.22,5.29,0.01,0,0.58
1552318_at,23.13,13.53,6.64,11.79,8.83,17.2,21.7,24.96,10.07,40.58,11.23,25.29,7.58,11.52,4.52,13.19,1.4,0.37,15.64,24.73
1552319_a_at,0,12.68,0.01,3.93,1.52,3.75,2.36,4.11,0.52,0,0.01,31.42,9.75,6.73,0.01,4.83,0,0.17,1.14,16.65
1552320_a_at,35.7,5.12,199.11,130.32,39.46,33.65,15.05,2.44,276.35,2.12,0,211.93,421.93,0.12,0.01,5.33,356.09,7.44,186.47,3.58
1552321_a_at,0.01,0,0,1.47,6.49,2.81,1.16,3.74,0,0,0,0,0.11,4.46,2.65,0,1.1,0.08,0,0.01
1552322_at,12.71,7.31,30.78,0.49,1.1,9.51,10.15,1.56,1.78,5.38,2.31,0.02,4.01,0.39,3.23,11.68,2.54,6.43,12.65,4.66
1552323_s_at,5.62,0.24,0,6.11,1.43,2.9,2.72,0.86,10.18,3.56,6.56,1.53,4.8,4.33,4.95,4.52,2.55,8.56,3.83,0.51
1552325_at,0,0,3.74,0,0.01,0.01,0,5.31,1.83,0,0.36,0,0.18,0,0,1.11,1.55,2.42,1.26,10.06
1552326_a_at,250.67,132.21,204.66,470.06,494.73,27.21,311.27,223.86,409.93,222.89,516.04,1046.82,449.5,862.95,701.78,696.04,727.09,226.03,535.2,665
1552327_at,2.23,10.38,0,0,1.61,9.11,0.89,1.2,2.85,0,0,0,1.08,2.77,0,0,0,1.19,6.39,0
1552329_at,6.28,0.77,0.39,0.01,5.29,0.23,7.21,0.01,7.79,0,0,4.95,4.4,0,5.72,2.3,0.76,5.04,4.54,0.85
1552330_at,5.54,7.25,2.97,2.56,5.17,0.02,10.85,0.51,4.57,4.36,0,0.01,6.7,2.3,2.32,6.41,1.51,0.02,0.69,0
1552332_at,314.95,373.36,101.06,400.4,47.44,466.92,160.86,59.77,82.65,141.44,54.69,62.93,22.39,51.71,150.24,38.99,69.17,54.58,337.24,53.08
1552334_at,0,0,0.83,3.56,1.44,8.12,2.08,0,4.15,6.73,0.01,0.76,1.24,0.09,0.01,1.17,3.59,3.78,0,0
1552335_at,0,7.25,13.86,0.01,0,0.78,4.02,0.35,2.88,0.09,0,1.68,0.66,5.18,0,0.81,0,0.56,1.13,4.19
1552337_s_at,5.19,1.94,1.02,0.73,4.48,2.59,4.7,1.66,7.58,4.95,3.28,2.46,2.92,0.52,0.05,2.54,4.39,1.5,4.74,0
1552338_at,83.01,153.52,91.81,162.14,0,207.34,8.64,0.04,15.22,7.74,1.83,0,0.09,53.52,11.56,16.35,46.66,0.01,195.19,0
1552340_at,25.5,42.34,0,24.57,43.04,11.8,39.6,2.92,3.3,10.53,4.52,49.04,19.03,1.99,7.49,4.88,34.17,3.43,23.12,0.02
1552343_s_at,1184.61,1844.99,2062.4,1485.73,1975.51,2333.74,1683.26,2184.68,1480.33,1289.24,1269.85,1991.34,2044.79,1904.62,1783.1,2104.76,1403.44,1887.99,1559.09,1196.02
1552344_s_at,1.61,0,0,40.84,0.31,1.34,0.97,0,1.66,0.02,1.54,0.98,0.73,0.65,3.66,8.21,0,0,0.8,0.87
1552347_at,1.59,8.98,4.52,5.64,7.4,6.71,7.45,0.01,5.19,0.29,2.74,16.66,15.46,5.47,3.38,23.69,7.82,2.68,4.34,9.41
1552348_at,4.29,0.01,7.88,2.43,2.55,2.35,6.89,2.83,0.89,0,3.2,5.96,4.69,14.32,1.91,3.73,4.58,5.49,1.79,0.01
1552349_a_at,819.33,290.86,648.84,615.27,732.63,686.05,314.61,573.01,357.76,869.9,471.67,526.85,400.59,268.45,487.74,403.67,623.14,201.64,831.56,667.85
1552354_at,4.74,3.88,7.08,2.48,157.4,8.68,4.46,9.65,7.04,13.17,4.15,5.58,39.59,12.24,5.88,1.62,10.78,32.64,2.74,4.1
1552355_s_at,247.63,243.6,478.37,429.99,173.79,355.34,536.6,564.09,331.76,18.67,477.33,268.21,221.21,121.27,298.03,368.11,0.56,191.58,377.87,449.04
1552359_at,9.4,7.48,1.26,0.01,2,3.55,0,0.01,4.13,24.31,1.65,4.84,10.56,4.89,3.72,2.58,7.2,0.11,0.56,8.01
1552360_a_at,4.34,1.11,46.04,2.34,5.67,1.35,3.18,0,0.02,1.84,4.41,3.63,0.88,1.65,1.96,4.49,6.11,3.63,5.42,2.05
1552362_a_at,212.8,0.08,56.23,69.86,137.99,43.53,231.76,498.76,137.27,34.58,0.07,131.7,83.24,269.76,43.06,0.02,132.55,188.41,0.03,16.38
1552364_s_at,0.43,0,1.97,0.72,4.53,0,2.46,1.35,2.01,1.56,0,0.44,0.01,5.2,0.02,0,0,1.88,0,0.39
1552365_at,4.64,3.11,1.12,0.97,4.53,0,5.16,0,0.01,0,0.01,0,6.1,0,0,4,0.96,1.03,5.65,5.09
1552367_a_at,50.19,0.04,47.8,7.56,31.57,14.16,48.24,46.68,6.92,20.21,82.37,89.57,30.03,6.35,4.87,0,12.74,0,0,0.01
1552368_at,2.7,4.43,1.31,6.31,4.89,7.61,7.04,1.07,1.48,2.56,0,2.37,5.32,6.31,5.09,2.52,4.36,5.66,8.94,6.08
1552370_at,2.61,2.05,2.8,6.86,4.68,2.31,0,3.03,3.23,0.01,0.1,4.09,0.01,8.14,2.6,4.55,3.8,2.43,3.45,0.57
1552372_at,0,2.99,0.42,6,0,0,0.44,0,0.01,2.1,0.64,0.92,1.97,0.75,0,0,0.82,0,0.17,1.6
1552373_s_at,89.8,5.87,4.4,18.95,9.51,15.35,37.74,39.62,23.38,15.72,31.06,2.25,24.47,2.89,22.3,3.56,69.25,60.9,3.17,1.04
1552375_at,62.16,76.72,88.62,73.41,64.93,122.68,66.38,376.22,11.3,207.44,0.01,11.09,0.01,7.58,13.22,5.52,12.04,52.61,69.95,42.86
1552377_s_at,209.95,275.19,280.55,391.7,250.39,328.23,121.49,217.58,265.72,275.55,178.9,305.49,381.46,225.58,151.91,68.32,130.53,202.03,355.12,99.92
1552378_s_at,1.9,0,0.01,9.52,0.16,0,0,0,3.41,1.04,0.32,2.64,3.13,6.58,2.88,0,0,0.01,0,0
1552379_at,0.81,4.45,0.22,4.74,1.55,0.14,0.44,2.91,0.01,2.91,7.14,6.33,5.3,0.01,3.85,3.32,5.88,0.45,0.86,6.91
1552381_at,4.8,2.83,0,0,4.67,0,1.73,1.81,3.63,5.15,1.13,4.48,5.44,3.34,9.2,9.37,3.08,2.68,4,3.14
1552383_at,0,0,6.21,3.02,0,0,0,2.59,0,1.24,3.31,4.18,0,0,0,0,0,12.88,1.61,0.73
1552384_a_at,9.4,0.49,5.13,1.67,2.55,0,38.69,9.33,1.64,0.01,1.65,5.54,1.05,3.65,12.53,2.14,3.85,1.18,3.86,0
1552386_at,5.88,1.54,2.55,1.61,1.37,5.22,4.68,3.28,1.35,1.13,2.09,3.12,13.61,2.57,0.9,9.47,0,0,0,29.38
1552388_at,2.69,0,0,3.03,1.96,3.45,1.87,0.89,3.64,6.77,8.34,0.2,1.73,1.72,1.22,3.01,3.29,3.79,1.62,0.48
1552389_at,29.89,128.57,0.07,270.64,0.16,26.79,0.13,81.9,277.91,0.14,83.06,38.38,0.05,21.84,49.17,632.78,40.21,103.91,353.42,0.07
1552390_a_at,5.36,4.95,2.01,5.24,4.18,3.27,1.61,2.9,8,6.06,2.51,0,0,1.97,0.16,0.07,0,0.01,1.18,0
1552391_at,5.32,1.82,1.2,1.3,2.08,0.01,0.09,2.87,0.83,0,0,1.75,3.29,5.58,0,0.01,0,3.91,4.58,0.02
1552393_at,3.24,0.01,0.01,0,1.89,0.91,7.99,3.11,0.02,0.05,0.58,1.59,3.81,2.21,0,1.18,0.01,3.19,1.72,8.05
1552394_a_at,0,1.35,0.88,3.59,1.64,1.49,6.95,0.36,0.69,0,1.59,0.94,0,0,0.96,1.58,1.46,4.07,0.01,0.02
1552395_at,8.4,0.81,3.8,0.01,0,33.13,1.98,48.19,7.38,1.92,9.85,3.99,0,9.98,0,4.22,5.14,6.61,31.89,3.38
1552396_at,0,3.92,0,11.78,1.31,9.01,0,3.6,9.4,0,128.42,3.36,9.5,1.39,67.4,0.6,6.67,72.21,4.04,3.12
1552398_a_at,137.58,43.56,33.96,61.76,44.58,30.95,51.17,140.28,0.04,50.19,275.93,239.07,74.3,269.56,171.26,70.7,72.26,0.01,36.25,192.49
1552399_a_at,0.02,2.47,7.68,0.4,20.67,1.11,0,0.01,0,0.53,2.68,1.82,0.58,0,1.08,0.23,0.6,0.63,0,4.3
1552400_a_at,188.42,642.43,980.04,877.35,809.13,1228.43,937.67,1261.86,1110.49,1210.61,868.68,1077.11,599.39,923.71,1083.42,1290.6,1117.06,1130.98,1339.78,1583.3
1552401_a_at,180.17,131.57,0.73,352.48,369.97,439,90.26,222.54,59.47,367.45,91.83,156.35,625.22,69.19,62.54,190.29,153.93,141.87,450.8,3.27
1552402_at,3.04,0.41,1.96,0,9.25,0.72,1.26,2.55,3.34,0.01,8.48,3.56,3,3.73,11.04,1.21,0.16,6.16,0,0
1552405_at,6.13,0,3.29,2.79,2.31,16.05,3.44,0.96,2.76,1.04,0.35,0.28,12.73,0.01,2.75,2.55,4.76,5.03,3.02,0.01
1552408_at,4.95,3.51,4.42,6.96,8.94,0.99,9.01,0,3.4,4.18,5.59,4.73,4.01,2.69,2.99,5.24,7.42,0,2.12,2.66
1552409_a_at,0,3.24,3.86,0,0,12.6,1.23,3.32,1.89,0.83,5.44,1.97,2.95,0.27,5.04,0.1,2.86,3.72,0.01,4.67
1552410_at,6.07,2.87,0,0.9,0,0.01,0,1.87,4.77,0.48,7.48,0,0,4.04,4.36,2.37,5.51,1.26,0.79,0.28
1552411_at,52.84,3.5,70.88,5.39,78.32,7.31,93.57,28.4,8.27,381.15,12.77,35.87,11.31,58.36,22.98,76.2,17.59,10.64,1.46,62.92
1552412_a_at,0.9,7.26,0.22,47.21,11.58,26.93,59.7,8.74,54.69,8.67,15.09,2.78,8.71,37.12,26.65,71.47,27.49,42.17,41.84,80.61
1552414_at,58.91,76.86,156.05,39.43,79.01,38.89,24.64,14.36,52.3,124.89,157.64,5.31,21.05,7.14,34.13,47.99,89.51,99.07,76.82,9.35
1552415_a_at,4.61,2.14,1.65,0,1.92,0.38,33.82,1.48,9.03,0.02,4.98,2.35,1.95,0.17,0,0.8,0.01,2.65,2.44,0.37
1552417_a_at,1.32,2.18,0.22,1.68,4.27,0,0.02,0.01,3.85,4,0,3.6,2.45,4.16,0,0,2.94,0.02,4.58,15.89
1552418_at,1882.67,2050.98,1879,2163.15,2029.77,1871.61,2244.77,1909.42,2107.14,1539.97,2581.49,2521.25,1835.01,2023.7,2638.81,1820.99,2498.54,2443.36,1196.31,1633.03
1552419_s_at,2.02,4.89,3.4,4.36,1.76,3.08,2.62,0.12,3.45,2.94,0.07,1.22,1.5,1.84,0.61,0,1.18,2.64,4.7,2.29
1552421_a_at,376.71,375.98,126.13,326.93,179.56,57.71,202.94,347.4,179.32,127.78,207.68,344.79,219.34,191.51,356.55,295.8,319.21,617.11,201.51,300.17
1552422_at,104.58,677.29,1032.99,344.87,1290.67,640.73,712.37,335.03,692.75,706.58,752.45,1039.23,826.29,1125.75,603.9,977.66,1106.13,443.85,673.53,611.07
1552423_at,81.33,32.03,39.51,58.86,68.42,65.17,40.62,34.6,65.75,31.62,49.4,297.78,46.75,204,430.81,57.26,52.72,68.67,58.25,153.15
1552424_at,2.14,7.27,3.96,0.03,0,2.19,10.67,0.01,5.61,1.83,6.33,1.3,0,0.3,0,4.22,0.01,3.14,0.01,1.02
1552425_a_at,4.61,0,7.17,0.8,9.54,0,0,0,0,0,0,0,3.3,1.5,0,0,0.01,0.99,0.72,0.3
1552426_a_at,0.19,3.34,3.15,2.34,0.01,3.49,3.89,1.01,5.16,0,1.61,18.32,2.37,0.01,0,2.56,0,3.61,3.36,5.64
1552427_at,5.64,0,0,3.26,3.81,0,0.01,4.22,0,0,8.05,0,0,0,3.85,0,2.84,4.95,0,9.23
1552430_at,2.9,0.46,1.62,3.25,6.21,6.88,0.87,2.78,33.86,0,0.07,1.86,0.65,20.03,20.54,5,12.54,13.28,1.34,5.37
1552432_at,0,0.71,0.25,2.96,0,15.48,1.3,5.12,0.01,3.76,0,2.83,0,3.57,0,0.7,7.24,2.55,4.71,3.7
1552436_a_at,7.78,0.96,2.51,0,1.98,0.4,0,0,0.01,0,4.65,1.5,8.22,9.1,2.42,0,0.68,0.91,0,0
1552438_a_at,1.68,1.73,0.05,4.07,0.01,4.4,0,0.88,4.7,3.83,0.01,17.91,6.3,62.92,0,0,0.01,15.62,0.52,7
1552439_s_at,0,3.25,0.14,1.95,7.57,0,2.19,0,1.18,0,3.33,0.01,0.01,0.21,0.37,0.07,2.4,1.93,0.67,0
1552440_at,0,1.2,0,0.05,2.91,4.01,0,1.09,0.95,2.18,1.3,0.01,2.35,0.25,3.73,8.85,2.02,2.13,0.01,7.68
1552445_a_at,7.98,9.44,17.94,1.8,2.35,0.82,6.43,5.48,2.39,0.28,0.01,5.59,2.7,8.43,5.84,0.91,6.14,0.82,4.91,8.63
1552448_a_at,2.31,0.99,0,2.57,0.39,2.23,0,19.82,1.14,76.86,0.91,0.02,3.36,2.11,4.37,2.42,12.1,1.84,102.37,0
1552449_a_at,4.32,0.01,11.65,5.2,1.95,0.23,0,3.62,0.06,1.44,2.52,1.32,2.77,0.05,1.79,3.17,3.62,0.3,1.51,1.82
1552450_a_at,0.01,4.82,1.1,0.02,0.02,0.74,5.16,2.09,7.96,3.42,8.2,4.81,2.69,7.05,3.49,10.61,7.13,10.31,1.59,7.61
1552452_at,0.01,0.01,1.87,2.57,1.37,0,3.27,0,0,0,2.97,27.92,0.63,3.15,1.14,3.65,1.76,1.68,1.11,1
1552453_a_at,4.42,2.72,0.71,6.63,9.99,1.71,5.88,1.91,8.6,4.21,15.21,5.37,7.9,10.64,3.36,6.24,15.21,17.99,2.35,4.23
1552455_at,1.29,1.42,1.34,5.29,0,1.56,8.04,0,1.57,6.23,2.96,2.19,6.5,4.22,5.86,3.51,9.56,4.06,2.49,3.01
1552456_a_at,213.64,105.49,182.08,83.32,123.95,79.85,118.77,187.83,134.31,184.95,155.39,247.45,67.23,94.78,37.56,87.02,31.55,30.21,88.42,122.02
1552457_a_at,0,7.34,3.8,0,2.65,0.01,0.72,2.8,0.01,0.01,5.53,0,0,5.66,0.01,5.91,0.01,0.01,6.93,2.2
1552458_at,0,1.21,10.26,0.99,1.82,2.13,1.16,0,4.24,0.01,3.91,7.18,1.08,0,1.45,4.94,4.21,0,3.55,10.04
1552459_a_at,9.39,8.26,32.98,3.24,2.01,24.92,29.67,10.01,10.15,2.6,18.85,0.51,1.15,9.95,12.79,31.7,40.98,9.16,11.14,7.2
1552461_at,0,0.02,0,0.01,2.87,2.29,0,0,3.48,0.56,2.26,0.67,1.18,0.01,0,1.82,0.58,4.69,1.71,0
1552463_at,2020.33,1659.83,1612.93,1533.58,1654.74,1881.91,1694.64,1857.68,1619.05,1432.82,1945.46,1238.44,1639.7,1395.46,1441.04,1666.68,1146.58,808.84,1545.98,1361.73
1552466_x_at,704.97,353.38,899.62,394.33,490.97,767.85,669.28,700.22,842.44,558.52,657.72,700.49,263.46,838.86,705.13,451.48,659.95,254.68,312.12,615.2
1552467_at,4.4,0,0,5.36,0,0,0,0,8.54,6.03,0.81,1.53,0,0.53,0.01,5.89,2.16,0,0.01,2.62
1552468_a_at,0.01,3.51,0,5.42,7.86,4.05,0.75,9.1,4.75,3.56,8.88,0,0.72,0.01,0,5.22,0,3.27,0,0.3
1552470_a_at,3.72,0,0,0,2.91,0,0,0.01,0,0,1.01,2.87,1.26,1.16,0.01,1.78,0,4.15,0,1.4
1552472_a_at,0,0.04,3.18,2.17,0.9,2.12,0,1.12,0.02,0,7.15,0,0,2,0.02,4.15,1.77,0,0,2.24
1552473_at,2.84,5.07,8.07,3.18,6.11,0.79,7.86,4.66,0.01,6.54,0.87,6.25,0.47,2.78,2.72,4.29,6.57,0.52,6.54,0
1552474_a_at,0,1.78,0.79,0.02,1.9,0,0.01,2.47,3.23,0.61,1.61,4.52,2.84,2.78,4.69,0,0.43,1.48,2.3,0.01
1552476_s_at,0,0,0,0.58,0.54,2.59,0.42,2.83,1.06,0,0.8,0.01,0.58,0,0,27.98,0.86,0.8,1.1,1.21
1552477_a_at,0.02,0,5.78,3.13,11,6.4,7.01,0.01,4.02,0.03,0.98,5.51,0.06,4.53,1.5,1.96,0.54,4.25,6.14,5.22
1552478_a_at,10.37,6.45,1.98,0.33,4.16,0.01,0.31,4.33,0.86,3.59,0.86,6.42,0.9,0.07,1.82,6.43,1.78,5.79,0.01,3.33
1552480_s_at,0.39,0,2.29,2.82,0.01,0,2,1.73,6.78,0,0.01,1.31,0.63,0,0.01,21.1,0.38,2.93,1.57,3.71
1552481_s_at,22.41,69.37,3.15,0.06,8.92,2.54,2.3,27.62,70.24,40.73,135.61,73.69,46.35,65.23,97,101.82,55.26,76.04,1.89,122.94
1552482_at,6.96,0,0.01,3.64,0.01,1.46,11.05,0.6,10.87,0.3,0,3.6,0.79,3.58,0,7.57,10.31,4.02,3.65,3.89
1552484_at,5.14,39.98,54.77,46.06,32.65,14.16,21.92,41.11,23.82,30.22,35.58,35.08,60.27,102.91,6.42,35.62,67.66,68.42,0,9.23
1552485_at,6.15,5.27,7.53,0,0,2.54,0.23,4.79,2.95,0.47,6.56,5.2,6.58,0.01,0,0.01,1.01,0.01,0.02,2.43
1552486_s_at,0.23,0,0.17,0,1.54,0,2.45,0.01,6.48,0,0,6.02,8.57,4.8,8.52,0.01,0,0.01,0.07,1.14
1552487_a_at,4.92,8.81,20.4,4.46,10.55,2,16.6,5.88,2.83,0.44,0.01,6.19,5.3,3.18,0.61,0,1.18,0,3.34,0.54
1552489_s_at,12.64,325.67,466.82,267.09,272.4,133.05,1124.73,3.63,637.29,360.99,910.65,370.51,279.84,397.73,617.07,496.8,598.85,1160.37,273.56,675.7
1552490_at,183.41,178.22,70.63,439.08,284.3,97.45,395.56,430.46,49.02,10.38,139.15,0,687,900.96,0.41,78.18,42.57,136.07,238.82,706.55
1552491_at,1.61,2.44,1.43,0,0.79,2.95,0,2.64,4.41,0.99,0,0.78,2.3,0.43,2.06,0.1,10.09,4.52,3.54,0
1552493_s_at,0.63,0,0.96,4,9.92,0.24,0,0,2.58,4.14,0.01,0,8.38,18.26,13.02,1.01,1.73,6.42,0.96,0
