ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
229217_at,70.02,0.02,48.62,86.9,9.3,0.01,224.71,33.62,0.01,98.86,37.19,157.78,0.01,20.46,38.82,0,36.92,0.04,0.02,60.28
229218_at,4.06,0,0.01,1.23,7.99,2.85,3.84,0.01,2.93,0.22,0.01,5.38,0.77,1,0.43,2.27,1.12,0.21,2.04,0.01
229219_s_at,23.38,59.01,81.66,50.34,28.75,51.03,114.21,271.59,31.58,692.54,231.16,37.59,0,10.44,16.91,29.05,4.25,107.06,14.97,562.11
229220_x_at,4.34,6.25,10.32,2.56,9.85,0.48,3.18,3.71,3.14,5,3.63,7.97,0.03,3.18,1.6,11.14,8.82,2.96,1.27,5.02
229221_at,0.01,7.85,8.68,0.96,2.16,4.27,4.48,0.01,7.25,18.97,5.79,2.23,16.36,2.85,4.86,3.96,3.95,2.42,8.13,21.07
229222_at,580.71,409.88,334.31,344.27,470.14,639.22,452.69,528.53,545.07,382.09,340.35,356.98,477.15,288.47,391.28,145.23,393.74,277.61,523.02,320.73
229223_at,103.07,162.71,319.55,235.17,165.75,338.15,305.68,153.63,143.64,110.86,181.13,71.29,230.27,92.94,56.7,24.5,179.63,136.62,189.75,0.18
229224_x_at,0,5.22,0,2.4,0,0.54,0.46,0,3.73,16.93,0,0,0,4.05,0,0,1.18,0.02,0,0.87
229225_at,0,3.37,1.97,1.62,0.68,0.17,2.83,0.86,2.63,0.51,0.65,2.52,1.13,2.72,0,6.63,0,10.88,5.29,4.04
229226_at,4.84,2.88,2.34,1.21,3.18,2.3,49.75,2.69,6.03,3.45,27.48,2.4,2.02,15.42,1.88,143.62,19.16,57.33,3.47,1.99
229227_at,0,1.01,0.9,0.11,2.19,5.71,0,3.05,0.02,0.31,2.13,0,0,4.79,0.69,2.59,0.08,0,0.65,0
229228_at,0.83,4.69,0,0.01,1.18,0.01,5.48,3.24,0.06,2.35,0,0,0.23,2.06,0.78,0,9.08,0,2.78,0.01
229229_at,6.3,7.6,2.36,0,1.68,0,2.58,2.87,1.37,4.67,0,1.42,4.47,4.95,3.36,1.85,1.67,4.77,1.64,0
229230_at,44.48,0.01,0.01,52.19,29.89,2.15,37.28,0.03,5.37,0.05,3.76,26,0.59,0,6.61,16.32,13.63,0.06,0.02,0
229231_at,2.97,17.33,11.21,1.16,1.88,9.32,33.52,3.23,0.87,8.71,6.29,5.81,2.52,14.09,7.99,7.73,12.2,0.01,14.53,3.33
229232_at,0,0.39,0,1.48,0,6.1,0,0.89,2.92,0,1.01,2.48,0.46,0.52,0,0.01,1.68,0.01,36.94,5.12
229233_at,0,0.01,36.48,23.18,3.39,0.26,7.63,1.42,6.6,1.32,1.51,0,2.57,5.71,3.19,0.02,5.92,12.5,0.6,15.79
229234_at,2.91,3.97,16.62,20.12,2.56,5.05,3.84,0.58,7.87,0.83,2.64,25.79,51.45,9.39,25.72,8.89,24.78,17.62,4.46,12.46
229235_at,1.08,0,3.55,3.65,4.91,6.9,3.08,3.88,6.91,2.17,5.77,2.27,8.09,2.31,0,2.93,0.03,0.01,4.53,0
229236_s_at,34.56,12.13,4.17,30.01,0.2,2.24,247.84,4.11,2.85,3.01,4.71,11,52.94,208.41,76.53,9.49,5.35,303.74,3.07,0.88
229237_s_at,3.7,0.01,3.28,14.59,0,0,1.43,4.88,0.19,4.15,1.71,0.23,0,4.51,1.72,2.21,0.54,0.84,0,4.62
229238_at,0.65,6.15,0.01,3.02,3.39,0.39,3.13,17.3,0,7.27,5.47,3.22,1.27,7.25,4.38,0.2,4.83,3.56,3.8,0
229239_x_at,35.87,14.39,10.78,0.05,1.93,6.58,6.14,3.94,6.07,2.2,5.53,37.31,19.17,0,72.99,32.28,11.9,29.92,19.91,16.03
229240_at,4.63,10.28,14.89,7.71,3.84,4.34,13.36,6.99,0.01,0.01,7.55,6.62,4.57,3.14,5.2,4.48,3.75,4.26,6.55,5.5
229241_at,0,2.3,0,3.46,0.25,17.46,11.35,4.46,4.08,0,0.01,0.32,3.45,2.41,0.1,1.54,0.01,0,0,0
229242_at,1.91,3.83,0,0,7.18,0.01,0,1.6,0,0,2.89,0.79,2.17,0.01,2.5,2.85,0.54,1.3,0.16,0.62
