TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
59.15396,32.51715,223.8732,37.80935,67.40652,3153.109,3109.724,12631.05,51.95398,10518.95,443.7163,1073.879,1862.14,1485.655,538.1284,566.5587,446.3161,802.1654,1073.069,1412.613,5577.867,6638.699,132.2617,43.57015,9140.175,105.4696,269.6767,71.53823,63.19584,83.52972,1
85.69097,29.04861,31.59923,632.7817,102.0642,4646.696,2127.424,7099.233,651.4025,801.4761,644.2732,238.2293,2174.327,3157.209,25.56891,684.9177,814.1494,1766.313,1477.989,679.5888,2463.238,4505.118,157.3699,594.4875,3724.668,460.379,63.95169,352.9586,353.3631,44.65521,1
9.369138,64.11856,41.12742,126.7955,213.48,7052.88,4694.194,9167.313,306.1003,16726.15,1020.925,527.0052,786.0377,2041.429,35.00423,696.6201,1129.017,1285.668,2062.51,355.0794,6668.335,6351.85,58.82279,520.0827,19432.06,365.9427,38.85429,47.34099,67.54547,39.99361,1
93.72534,37.80828,36.63264,132.8995,687.0731,1831.099,1319.204,7609.818,1005.068,2578.145,803.4931,209.8654,2106.416,1917.381,499.2676,398.4541,693.3583,2468.904,1177.506,262.5601,2339.202,1987.264,46.52102,70.15617,5360.122,274.3995,194.6925,418.7963,76.61988,612.4684,1
80.0663,51.9702,35.28235,74.29016,1116.396,5212.697,5528.059,18106.32,896.439,17771.85,42.73481,85.64291,1270.203,1112.732,406.6147,979.3845,74.77368,105.3058,3045.144,347.8911,3524.391,6003.796,343.2571,273.3816,15737.9,657.2617,454.6065,34.24631,613.3207,550.8022,1
70.86602,580.9585,40.14182,302.7545,119.4537,6699.337,4972.733,8788.007,1081.463,4048.033,401.5479,1618.589,4200.282,2137.922,265.0981,814.1537,769.9948,1140.659,2068.708,110.0871,6054.48,4132.619,50.50675,162.0935,7616.617,511.1217,405.5056,843.8577,58.78942,494.1385,1
29.91241,67.25903,101.5876,34.14299,171.9767,14541.36,7384.022,10345.47,37.43699,11376.01,580.1569,33.56049,3727.385,2491.119,64.56158,528.4456,133.7615,1759.025,878.3029,365.8512,10086.81,5496.729,24.32405,18.32155,20290.21,224.4498,28.66557,617.3685,564.1634,222.4035,1
26.53538,66.25963,14.4086,51.65284,43.43712,5834.191,20350.12,19696.42,20.77554,30802.99,1032.4,85.42089,1692.25,1075.505,92.57121,1155.033,161.3655,1325.045,2127.184,279.0797,11908.54,8931.104,62.42206,398.2366,45530.31,68.20992,43.50544,183.365,21.73934,41.50949,1
67.88935,274.2988,31.05256,86.35008,59.22378,889.0021,1756.067,3022.709,41.7542,3551.295,1887.686,165.6389,1383.558,1425.556,742.7191,116.19,57.95017,106.8956,667.5704,967.7011,1534.05,2729.194,523.6293,107.1328,4182.322,902.5016,154.3062,1609.675,46.43561,121.284,1
14.35311,37.7963,26.38266,203.072,111.7859,6423.846,4331.555,7510.742,1350.294,12546.09,177.2006,28.40663,8302.717,3018.257,358.4837,648.8907,266.8134,2271.513,1284.599,319.3894,5358.859,6167.693,197.6761,20.84072,10159.42,77.27541,154.4864,188.6219,330.0384,63.80184,1
