TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
100.9397,1022.572,191.0938,184.7312,123.2787,6972.866,1485.123,10973.06,345.8696,6396.907,131.101,1393.015,1144.844,2320.225,237.5628,742.3214,226.0684,1935.799,2562.03,107.6672,1940.706,7168.833,74.55318,154.0256,7513.325,272.3071,38.94376,228.8665,140.2333,239.7046,0
20.314,31.31538,421.8167,46.70992,241.89,12886.37,10486.54,24523.75,636.466,21453.5,29.69935,711.6854,6488.214,1229.219,123.7647,1509.054,182.422,3264.014,2067.299,389.9813,9166.408,6923.808,24.5233,162.4018,21812.44,184.7727,130.5154,68.98755,37.06101,275.3937,0
10.76799,27.81923,224.7853,142.002,544.5099,9862.306,1624.493,11924.39,41.39277,14301.11,486.4348,1463.093,1519.017,1550.357,132.6106,865.6722,391.3428,1434.112,549.7703,18.04423,11544.81,2879.303,30.13265,262.7375,29499.43,48.51889,160.957,357.5766,51.18412,23.93229,0
29.05312,96.06831,85.51978,183.5607,615.4686,3997.211,2378.202,11369.52,36.47361,6926.651,168.8153,596.8721,1904.925,1890.204,96.22038,2524.017,92.52643,1800.711,717.4855,50.07663,2255.781,2601.725,48.67013,311.1566,7486.766,781.7028,88.76804,62.25093,103.0246,185.8894,0
9.533872,45.46745,473.8901,350.4319,380.1221,11138.47,19705.45,27528.23,489.9856,42611.36,250.1127,613.2402,6261.978,850.1383,21.68884,1413.456,255.8194,2134.495,6035.044,37.53798,8390.302,11121.88,69.6004,122.7861,40237.86,86.63646,79.52073,33.34583,61.96174,177.5799,0
226.8165,604.3865,2488.798,283.1113,16.94139,16517.59,6820.2,20738.56,27.22902,42426.64,892.3892,1324.77,2594.18,1228.601,64.40113,779.8688,114.0522,640.2605,5570.682,337.8853,17756.76,8144.454,86.6224,417.6489,28387.14,196.6346,44.28376,183.6896,55.48901,48.49527,0
72.70164,38.30574,56.9183,119.3755,941.6808,11223.75,9977.904,21241.09,822.0147,20800.39,74.06232,527.3165,4542.142,1162.449,456.1446,1440.781,71.3723,1761.059,5765.801,443.4842,6632.387,11864.15,56.93901,306.8289,23423.6,413.0909,152.9641,20.65514,347.8883,172.4517,0
12.91566,37.08851,52.32402,182.1718,1031.49,6368.981,11636.83,26051.23,777.5174,47926.43,507.4948,1030.586,3257.898,818.4858,11.23785,2988.099,630.2035,1486.483,6398.229,196.1507,14030.16,8193.897,19.62762,320.0907,65247.36,119.2694,214.2864,49.20875,361.7896,49.66685,0
459.3883,203.899,20.07007,61.2114,342.6009,1680.7,5337.264,14478.38,1151.057,16998.62,30.62041,315.4207,661.5216,1219.217,70.77923,436.7677,312.1223,732.3205,1115.252,80.51772,6327.333,3453.406,90.09794,146.6721,41475.58,592.8542,31.99069,29.43977,68.65636,138.2977,0
89.03147,22.56092,448.6668,409.9677,22.26864,7341.825,4472.015,10030.5,1000.563,9539.249,64.85332,1430.36,3951.149,1930.962,321.2143,747.0264,218.8756,1597.459,1623.713,26.19569,4959.799,1594.763,31.51272,700.1153,15300.69,165.4606,37.58273,597.6434,49.53148,134.0122,0
22.27771,887.5317,57.23718,173.1493,316.0351,1068.729,2372.463,7552.035,42.82496,7908.64,134.2343,455.6159,555.1652,1981.119,70.72318,1885.605,656.4744,37.24767,2063.554,270.371,3749.751,2787.099,65.18194,670.4223,7238.104,834.7501,87.41699,46.92818,98.42187,49.22903,0
